rank,title,author,weeks_on_list
1,"MORE DINERS, DRIVE-INS AND DIVES",Guy Fieri with Ann Volkwein,8
2,NEW MOON,Mark Cotta Vaz,12
3,"DINERS, DRIVE-INS AND DIVES",Guy Fieri with Ann Volkwein,20
4,RACHAEL RAY'S BOOK OF 10,Rachael Ray,8
5,THE LOVE DARE,Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough,66
1,THE BOOK THIEF,Markus Zusak,120
2,THIRST NO. 1,Christopher Pike,21
3,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,49
4,DARK VISIONS,L J Smith,16
5,MILES TO GO,Miley Cyrus,1
1,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks,12
2,WATCHMEN,Alan Moore and Dave Gibbons,44
3,LOGICOMIX - AN EPIC SEARCH FOR TRUTH,"Apostolos Doxiadis, Christos H Papadimitriou, Alecos Papadatos and Annie Di Donna",13
4,V FOR VENDETTA,Alan Moore and David Lloyd,39
5,THE SANDMAN: PRELUDES AND NOCTURNES,"Neil Gaiman, Sam Kieth, Mike Dringenberg and Malcolm Jones III",16
1,THE BLIND SIDE,Michael Lewis,13
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,152
3,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,18
4,BLINK,Malcolm Gladwell,115
5,I HOPE THEY SERVE BEER IN HELL,Tucker Max,117
1,SPLENDIFEROUS CHRISTMAS,Jane O’Connor,8
2,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,9
3,THE NIGHT BEFORE CHRISTMAS,Clement C Moore Various illustrators,26
4,LEGO STAR WARS,Simon Beecroft,11
5,WADDLE!,Rufus Butler Seder,15
1,THE TWILIGHT SAGA,Stephenie Meyer,125
2,DIARY OF A WIMPY KID,Jeff Kinney,50
3,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,129
4,HOUSE OF NIGHT,PC Cast and Kristin Cast,70
5,VAMPIRE DIARIES,L J Smith,35
1,THE SHACK,William P Young,84
2,PUSH,Sapphire,18
3,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,27
4,THE LOVELY BONES,Alice Sebold,15
5,THE ART OF RACING IN THE RAIN,Garth Stein,29
1,WITCH AND WIZARD,James Patterson and Gabrielle Charbonnet,3
2,CATCHING FIRE,Suzanne Collins,18
3,FALLEN,Lauren Kate,4
4,THE HUNGER GAMES,Suzanne Collins,69
5,SHIVER,Maggie Stiefvater,23
1,"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle",15
2,THE HAPPINESS PROJECT,Gretchen Rubin,1
3,4-HOUR WORKWEEK,Timothy Ferriss,58
4,IT'S YOUR TIME,Joel Osteen,9
5,THE PIONEER WOMAN COOKS,Ree Drummond,10
1,THE LOST SYMBOL,Dan Brown,16
2,THE HELP,Kathryn Stockett,40
3,CROSS FIRE,James Patterson,7
4,SIZZLE,Julie Garwood,1
5,FIRED UP,Jayne Ann Krentz,1
1,THE BOOK OF GENESIS: ILLUSTRATED,R Crumb,12
2,WOLVERINE: OLD MAN LOGAN,Mark Millar and Steve McNiven,6
3,BATMAN: BATTLE FOR THE COWL,Tony Daniel,6
4,THE WONDERFUL WIZARD OF OZ,Eric Shanower and Skottie Young,16
5,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?,Neil Gaiman and others,18
1,HAVE A LITTLE FAITH,Mitch Albom,14
2,GOING ROGUE,Sarah Palin,7
3,WHAT THE DOG SAW,Malcolm Gladwell,11
4,SUPERFREAKONOMICS,Steven D Levitt and Stephen J Dubner,11
5,STONES INTO SCHOOLS,Greg Mortenson,5
1,"VAMPIRE KNIGHT, VOL. 8",Matsuri Hino,9
2,NARUTO 46,Masashi Kishimoto,14
3,"MAXIMUM RIDE, VOL. 2",James Patterson and NaRae Lee,10
4,"VAMPIRE KNIGHT, VOL. 7",Matsuri Hino,12
5,"MAXIMUM RIDE, VOL. 1",James Patterson and NaRae Lee,4
1,STREET GAME,Christine Feehan,1
2,DEAR JOHN,Nicholas Sparks,6
3,THE LOVELY BONES,Alice Sebold,13
4,THE DEVIL’S PUNCHBOWL,Greg Iles,1
5,SHADES OF MIDNIGHT,Lara Adrian,1
1,FLAT BELLY DIET!,Liz Vaccariello and Cynthia Sass,1
2,FOOD RULES,"Michael Pollan,",1
3,"START OVER, FINISH RICH",David Bach,1
4,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,441
5,SKINNY BITCH,Kim Barnouin,127
1,MILES TO GO,Miley Cyrus,2
2,LOCK AND KEY,Sarah Dessen,19
3,THE BOOK THIEF,Markus Zusak,121
4,THIRST NO. 1,Christopher Pike,22
5,DARK VISIONS,L J Smith,17
1,LOGICOMIX - AN EPIC SEARCH FOR TRUTH,"Apostolos Doxiadis, Christos H Papadimitriou, Alecos Papadatos and Annie Di Donna",14
2,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS,Max Brooks,13
3,WATCHMEN,Alan Moore and Dave Gibbons,45
4,V FOR VENDETTA,Alan Moore and David Lloyd,40
5,THE UMBRELLA ACADEMY: DALLAS,Gerard Way and Gabriel Ba,9
1,THE BLIND SIDE,Michael Lewis,14
2,THREE CUPS OF TEA,Greg Mortenson and David Oliver Relin,153
3,FREAKONOMICS,Steven D Levitt and Stephen J Dubner,19
4,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,1
5,BLINK,Malcolm Gladwell,116
1,SPLENDIFEROUS CHRISTMAS,Jane O’Connor,9
2,LEGO STAR WARS,Simon Beecroft,12
3,THE CHRISTMAS SWEATER,Glenn Beck with Kevin Balfe and Jason Wright,10
4,THE NIGHT BEFORE CHRISTMAS,Clement C Moore Various illustrators,27
5,WADDLE!,Rufus Butler Seder,16
1,THE TWILIGHT SAGA,Stephenie Meyer,126
2,DIARY OF A WIMPY KID,Jeff Kinney,51
3,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,130
4,HOUSE OF NIGHT,PC Cast and Kristin Cast,71
5,THE IMMORTALS,Alyson Noël,7
1,THE LOVELY BONES,Alice Sebold,16
2,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,28
3,PUSH,Sapphire,19
4,THE PIANO TEACHER,Janice Y K Lee,7
5,THE SHACK,William P Young,85
1,WITCH AND WIZARD,James Patterson and Gabrielle Charbonnet,4
2,CATCHING FIRE,Suzanne Collins,19
3,THE HUNGER GAMES,Suzanne Collins,70
4,FALLEN,Lauren Kate,5
5,SHIVER,Maggie Stiefvater,24
1,THE MAYO CLINIC DIET,the Mayo Clinic staff,1
2,THE HAPPINESS PROJECT,Gretchen Rubin,2
3,YOU: THE OWNER’S MANUAL FOR TEENS,"Michael F Roizen, Mehmet C Oz and Ellen Rome",34
4,4-HOUR WORKWEEK,Timothy Ferriss,59
