rank,title,author,weeks_on_list
4,TRIBAL LEADERSHIP,"Dave Logan, John King and Halee Fischer-Wright",0
5,TIPPING POINT,Malcolm Gladwell,0
1,"BUFFY THE VAMPIRE SLAYER: SEASON EIGHT, VOL. 8","Joss Whedon, Georges Jeanty and others",1
2,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,67
3,SCOTT PILGRIM VS. THE WORLD,Bryan Lee O’Malley,63
4,"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore,83
5,"FABLES, VOL. 15",Bill Willingham and Mark Buckingham,10
1,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,1
2,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,31
3,OUTLIERS,Malcolm Gladwell,2
4,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,15
5,THANK YOU NOTES,"Jimmy Fallon with the writers of ""Late Night""",4
1,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK),Mo Willems,1
2,LEGO HARRY POTTER,the DK staff,5
3,A SICK DAY FOR AMOS McGEE,Philip C Stead,23
4,"NANCY CLANCY, SECRET ADMIRER",Jane O'Connor,4
5,LEGO STAR WARS,Simon Beecroft,77
1,THE HUNGER GAMES,Suzanne Collins,43
2,FALLEN,Lauren Kate,1
3,DORK DIARIES,Rachel Renée Russell,2
4,JUDY MOODY,Megan McDonald,3
5,DIARY OF A WIMPY KID,Jeff Kinney,127
1,THE HELP,Kathryn Stockett,11
2,WATER FOR ELEPHANTS,Sara Gruen,125
3,ROOM,Emma Donoghue,7
4,CUTTING FOR STONE,Abraham Verghese,73
5,THE ART OF RACING IN THE RAIN,Garth Stein,106
1,THE THRONE OF FIRE,Rick Riordan,8
2,THEODORE BOONE: THE ABDUCTION,John Grisham,3
3,UNCOMMON CRIMINALS,Ally Carter,1
4,WHAT HAPPENED TO GOODBYE,Sarah Dessen,7
5,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE",Rick Riordan and Orpheus Collar,60
1,SMOKIN’ SEVENTEEN,Janet Evanovich,0
2,THE HELP,Kathryn Stockett,0
3,A GAME OF THRONES,George RR Martin,0
4,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,0
5,THE DEVIL COLONY,James Rollins,0
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,0
2,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,0
3,UNBROKEN,Laura Hillenbrand,0
4,IN THE GARDEN OF BEASTS,Erik Larson,0
5,THE GREATER JOURNEY,David McCullough,0
1,SMOKIN’ SEVENTEEN,Janet Evanovich,1
2,THE HELP,Kathryn Stockett,19
3,A GAME OF THRONES,George RR Martin,11
4,WATER FOR ELEPHANTS,Sara Gruen,22
5,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,2
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,22
2,IN THE GARDEN OF BEASTS,Erik Larson,7
3,UNBROKEN,Laura Hillenbrand,22
4,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,2
5,BOSSYPANTS,Tina Fey,12
1,SMOKIN’ SEVENTEEN,Janet Evanovich,1
2,THE HELP,Kathryn Stockett,22
3,WATER FOR ELEPHANTS,Sara Gruen,22
4,A GAME OF THRONES,George RR Martin,12
5,SILVER GIRL,Elin Hilderbrand,1
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,22
2,IN THE GARDEN OF BEASTS,Erik Larson,7
3,BOSSYPANTS,Tina Fey,12
4,UNBROKEN,Laura Hillenbrand,22
5,MY HORIZONTAL LIFE,Chelsea Handler,22
1,GO THE -- TO SLEEP,Adam Mansbach,4
2,THE 17 DAY DIET,Mike Moreno,15
3,THE DUKAN DIET,Pierre Dukan,10
4,THE 4-HOUR BODY,Timothy Ferriss,28
5,LOVE WINS,Rob Bell,15
1,RECKLESS ENDANGERMENT,Gretchen Morgenson and Joshua Rosner,0
2,KNOWING YOUR VALUE,Mika Brzezinski,0
3,CAR GUYS VS. BEAN COUNTERS,Bob Lutz,0
4,GET RICH CLICK!,Marc Ostrofsky,0
5,WE FIRST,Simon Mainwaring,0
1,SMOKIN’ SEVENTEEN,Janet Evanovich,1
2,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,2
3,THE DEVIL COLONY,James Rollins,1
4,STATE OF WONDER,Ann Patchett,3
5,ONE SUMMER,David Baldacci,2
1,GREEN LANTERN: SECRET ORIGIN,Geoff Johns and Ivan Reis,3
2,LEGION LOST,"Dan Abnett, Andy Lanning and Oliver Copiel",1
3,THE INFLUENCING MACHINE: BROOKE GLADSTONE ON THE MEDIA,Brooke Gladstone and Josh Neufeld,3
4,"BATMAN & ROBIN, VOL. 3",Grant Morrison and others,6
5,BLACKEST NIGHT,Geoff Johns and Ivan Reis,30
1,UNBROKEN,Laura Hillenbrand,32
2,IN THE GARDEN OF BEASTS,Erik Larson,7
3,THE GREATER JOURNEY,David McCullough,5
4,RECKLESS ENDANGERMENT,Gretchen Morgenson and Joshua Rosner,4
5,BOSSYPANTS,Tina Fey,12
1,IN THE GARDEN OF BEASTS,Erik Larson,0
2,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,0
3,UNBROKEN,Laura Hillenbrand,0
4,DEMONIC,Ann Coulter,0
5,LOST IN SHANGRI-LA,Mitchell Zuckoff,0
1,"NARUTO, VOL. 51",Masashi Kishimoto,3
2,"VAMPIRE KNIGHT, VOL. 12",Matsuri Hino,3
3,"FULLMETAL ALCHEMIST, VOL. 25",Hiromu Arakawa,3
4,"OURAN HIGH SCHOOL HOST CLUB, VOL. 16",Bisco Hatori,3
5,"BLUE EXORCIST, VOL. 2",Kato Kazue,3
1,A GAME OF THRONES,George RR Martin,14
2,SIZZLING SIXTEEN,Janet Evanovich,1
3,TOUGH CUSTOMER,Sandra Brown,1
4,A CLASH OF KINGS,George RR Martin,10
5,WORST CASE,James Patterson and Michael Ledwidge,4
1,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,517
2,THE HAPPINESS PROJECT,Gretchen Rubin,17
3,THE FIVE LOVE LANGUAGES,Gary Chapman,204
4,CRAZY LOVE,Francis Chan with Danae Yankoski,36
5,EAT TO LIVE,Joel Fuhrman,2
1,THIRTEEN REASONS WHY,Jay Asher,2
2,THE BOOK THIEF,Markus Zusak,198
3,MR. POPPER'S PENGUINS,Richard Atwater and Florence Atwater,4
4,THEODORE BOONE: KID LAWYER,John Grisham,8
5,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie,100
1,OUTLIERS,Malcolm Gladwell,0
2,DRIVE,Daniel H Pink,0
3,TOO BIG TO FAIL,Andrew Ross Sorkin,0
4,TRIBAL LEADERSHIP,"Dave Logan, John King and Halee Fischer-Wright",0
5,TIPPING POINT,Malcolm Gladwell,0
1,"THE WALKING DEAD, VOL. 14",Robert Kirkman and Charlie Adlard,1
2,"MAUS: A SURVIVOR’S TALE, VOL. 1",Art Spiegelman,7
3,"BUFFY THE VAMPIRE SLAYER: SEASON EIGHT, VOL. 8","Joss Whedon, Georges Jeanty and others",2
4,X-MEN: SECOND COMING,Mike Carey,1
5,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,68
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,32
2,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,2
3,OUTLIERS,Malcolm Gladwell,3
4,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,16
5,THE GLASS CASTLE,Jeannette Walls,225
1,LEGO HARRY POTTER,the DK staff,6
2,A SICK DAY FOR AMOS McGEE,Philip C Stead,24
3,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK),Mo Willems,2
4,"NANCY CLANCY, SECRET ADMIRER",Jane O'Connor,5
5,LEGO STAR WARS,Simon Beecroft,78
1,THE HUNGER GAMES,Suzanne Collins,44
2,DORK DIARIES,Rachel Renée Russell,3
3,FALLEN,Lauren Kate,2
4,DIARY OF A WIMPY KID,Jeff Kinney,128
5,HARRY POTTER,JK Rowling,258
1,THE HELP,Kathryn Stockett,12
2,ROOM,Emma Donoghue,8
3,WATER FOR ELEPHANTS,Sara Gruen,126
4,LEARNING,Karen Kingsbury,1
5,A GAME OF THRONES,George RR Martin,7
1,"MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE",James Patterson and Chris Tebbetts,1
2,THE THRONE OF FIRE,Rick Riordan,9
3,SUPER DIAPER BABY 2,Dav Pilkey,1
4,THEODORE BOONE: THE ABDUCTION,John Grisham,4
5,WHAT HAPPENED TO GOODBYE,Sarah Dessen,8
1,THE HELP,Kathryn Stockett,0
2,NOW YOU SEE HER,James Patterson and Michael Ledwidge,0
3,SMOKIN’ SEVENTEEN,Janet Evanovich,0
4,A CLASH OF KINGS,George RR Martin,0
5,THE CREED LEGACY,Linda Lael Miller,0
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,0
2,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,0
3,UNBROKEN,Laura Hillenbrand,0
4,IN THE GARDEN OF BEASTS,Erik Larson,0
5,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,0
1,NOW YOU SEE HER,James Patterson and Michael Ledwidge,1
2,THE HELP,Kathryn Stockett,20
3,SMOKIN’ SEVENTEEN,Janet Evanovich,2
4,WATER FOR ELEPHANTS,Sara Gruen,23
5,DEEPER THAN MIDNIGHT,Lara Adrian,1
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,23
2,IN THE GARDEN OF BEASTS,Erik Larson,8
3,UNBROKEN,Laura Hillenbrand,23
4,BOSSYPANTS,Tina Fey,13
5,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,3
1,NOW YOU SEE HER,James Patterson and Michael Ledwidge,1
2,SMOKIN’ SEVENTEEN,Janet Evanovich,2
3,THE HELP,Kathryn Stockett,23
4,WATER FOR ELEPHANTS,Sara Gruen,23
5,DEEPER THAN MIDNIGHT,Lara Adrian,1
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,23
2,IN THE GARDEN OF BEASTS,Erik Larson,8
3,BOSSYPANTS,Tina Fey,13
4,UNBROKEN,Laura Hillenbrand,23
5,LOST IN SHANGRI-LA,Mitchell Zuckoff,10
1,GO THE -- TO SLEEP,Adam Mansbach,5
2,THE AGING MYTH,Joseph Chang,1
3,THE 17 DAY DIET,Mike Moreno,16
4,THE DUKAN DIET,Pierre Dukan,11
5,CINCH!,Cynthia Sass,3
1,RECKLESS ENDANGERMENT,Gretchen Morgenson and Joshua Rosner,0
2,KNOWING YOUR VALUE,Mika Brzezinski,0
3,CAR GUYS VS. BEAN COUNTERS,Bob Lutz,0
4,GET RICH CLICK!,Marc Ostrofsky,0
5,WE FIRST,Simon Mainwaring,0
1,NOW YOU SEE HER,James Patterson and Michael Ledwidge,1
2,SMOKIN’ SEVENTEEN,Janet Evanovich,2
3,STATE OF WONDER,Ann Patchett,4
4,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,3
5,ONE SUMMER,David Baldacci,3
1,GREEN LANTERN: SECRET ORIGIN,Geoff Johns and Ivan Reis,4
2,"BRIGHTEST DAY, VOL. 2",Geoff Johns and Peter J Tomasi,8
3,DARK TOWER: THE GUNSLINGER - THE LITTLE SISTER OF ELURIA,Robin Furth and Richard Isanove,2
4,BATMAN: THE RETURN OF BRUCE WAYNE,Grant Morrison and various,21
5,THE INFLUENCING MACHINE: BROOKE GLADSTONE ON THE MEDIA,Brooke Gladstone and Josh Neufeld,4
1,UNBROKEN,Laura Hillenbrand,33
2,IN THE GARDEN OF BEASTS,Erik Larson,8
3,BOSSYPANTS,Tina Fey,13
4,THE GREATER JOURNEY,David McCullough,6
5,MIRACLE OF FREEDOM,Chris Stewart and Ted Stewart,2
1,IN THE GARDEN OF BEASTS,Erik Larson,0
2,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,0
3,UNBROKEN,Laura Hillenbrand,0
4,DEMONIC,Ann Coulter,0
5,LOST IN SHANGRI-LA,Mitchell Zuckoff,0
1,"NARUTO, VOL. 51",Masashi Kishimoto,4
2,"VAMPIRE KNIGHT, VOL. 12",Matsuri Hino,4
3,THE MAGICIAN KING,Lev Grossman,7
4,"FULLMETAL ALCHEMIST, VOL. 25",Hiromu Arakawa,4
5,"OURAN HIGH SCHOOL HOST CLUB, VOL. 16",Bisco Hatori,4
1,THE CREED LEGACY,Linda Lael Miller,1
2,HELL'S CORNER,David Baldacci,1
3,DEEPER THAN MIDNIGHT,Lara Adrian,1
4,SIZZLING SIXTEEN,Janet Evanovich,2
5,TOUGH CUSTOMER,Sandra Brown,2
1,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,518
2,THE FIVE LOVE LANGUAGES,Gary Chapman,205
3,CRAZY LOVE,Francis Chan with Danae Yankoski,37
4,RADICAL,David Platt,54
5,EAT TO LIVE,Joel Fuhrman,3
1,THIRTEEN REASONS WHY,Jay Asher,3
2,THE BOOK THIEF,Markus Zusak,199
3,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN,Sherman Alexie,101
4,MR. POPPER'S PENGUINS,Richard Atwater and Florence Atwater,5
5,THEODORE BOONE: KID LAWYER,John Grisham,9
1,OUTLIERS,Malcolm Gladwell,0
2,DRIVE,Daniel H Pink,0
3,TOO BIG TO FAIL,Andrew Ross Sorkin,0
4,TRIBAL LEADERSHIP,"Dave Logan, John King and Halee Fischer-Wright",0
5,TIPPING POINT,Malcolm Gladwell,0
1,"THE WALKING DEAD, VOL. 14",Robert Kirkman and Charlie Adlard,2
2,BATMAN: RED HOOD - THE LOST DAYS,Judd Winick and Jeremy Haun,1
3,COWBOYS AND ALIENS,"Scott M Rosenberg, Fred Van Lente and others",1
4,THE COMPLETE PERSEPOLIS,Marjane Satrapi,5
5,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,69
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,33
2,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,3
3,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,17
4,OUTLIERS,Malcolm Gladwell,4
5,THE GLASS CASTLE,Jeannette Walls,226
1,LEGO HARRY POTTER,the DK staff,7
2,A SICK DAY FOR AMOS McGEE,Philip C Stead,25
3,PRESS HERE,Hervé Tullet,11
4,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK),Mo Willems,3
5,"NANCY CLANCY, SECRET ADMIRER",Jane O'Connor,6
1,THE HUNGER GAMES,Suzanne Collins,45
2,DORK DIARIES,Rachel Renée Russell,4
3,HARRY POTTER,JK Rowling,259
4,FALLEN,Lauren Kate,3
5,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,208
1,THE HELP,Kathryn Stockett,13
2,ROOM,Emma Donoghue,9
3,WATER FOR ELEPHANTS,Sara Gruen,127
4,CUTTING FOR STONE,Abraham Verghese,75
5,A VISIT FROM THE GOON SQUAD,Jennifer Egan,15
1,"MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE",James Patterson and Chris Tebbetts,2
2,THE THRONE OF FIRE,Rick Riordan,10
3,SUPER DIAPER BABY 2,Dav Pilkey,2
4,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,Ransom Riggs and Cassandra Jean,5
5,WHAT HAPPENED TO GOODBYE,Sarah Dessen,9
1,THE HELP,Kathryn Stockett,0
2,NOW YOU SEE HER,James Patterson and Michael Ledwidge,0
3,SMOKIN’ SEVENTEEN,Janet Evanovich,0
4,A GAME OF THRONES,George RR Martin,0
5,HELL'S CORNER,David Baldacci,0
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,0
2,UNBROKEN,Laura Hillenbrand,0
3,IN THE GARDEN OF BEASTS,Erik Larson,0
4,THE GREATER JOURNEY,David McCullough,0
5,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,0
1,THE HELP,Kathryn Stockett,21
2,NOW YOU SEE HER,James Patterson and Michael Ledwidge,2
3,SMOKIN’ SEVENTEEN,Janet Evanovich,3
4,THE SILENT GIRL,Tess Gerritsen,1
5,THE BLACK ECHO,Michael Connelly,2
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,24
2,IN THE GARDEN OF BEASTS,Erik Larson,9
3,UNBROKEN,Laura Hillenbrand,24
4,BOSSYPANTS,Tina Fey,14
5,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,24
1,NOW YOU SEE HER,James Patterson and Michael Ledwidge,2
2,THE HELP,Kathryn Stockett,24
3,THE BLACK ECHO,Michael Connelly,2
4,THE SILENT GIRL,Tess Gerritsen,1
5,SMOKIN’ SEVENTEEN,Janet Evanovich,3
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,24
2,IN THE GARDEN OF BEASTS,Erik Larson,9
3,BOSSYPANTS,Tina Fey,14
4,UNBROKEN,Laura Hillenbrand,24
5,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,9
1,THE 17 DAY DIET,Mike Moreno,17
2,GO THE -- TO SLEEP,Adam Mansbach,6
3,THE DUKAN DIET,Pierre Dukan,12
4,THE 4-HOUR BODY,Timothy Ferriss,30
5,LOVE WINS,Rob Bell,17
1,RECKLESS ENDANGERMENT,Gretchen Morgenson and Joshua Rosner,0
2,KNOWING YOUR VALUE,Mika Brzezinski,0
3,CAR GUYS VS. BEAN COUNTERS,Bob Lutz,0
4,GET RICH CLICK!,Marc Ostrofsky,0
5,WE FIRST,Simon Mainwaring,0
1,NOW YOU SEE HER,James Patterson and Michael Ledwidge,2
2,SMOKIN’ SEVENTEEN,Janet Evanovich,3
3,THE SILENT GIRL,Tess Gerritsen,1
4,AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,4
5,STATE OF WONDER,Ann Patchett,5
1,PAYING FOR IT,Chester Brown,3
2,GREEN LANTERN: SECRET ORIGIN,Geoff Johns and Ivan Reis,5
3,X-MEN: AGE OF X,Mike Carey and Clay Mann,1
4,DARK TOWER: THE GUNSLINGER - THE LITTLE SISTER OF ELURIA,Robin Furth and Richard Isanove,3
5,"BRIGHTEST DAY, VOL. 2",Geoff Johns and Peter J Tomasi,9
1,UNBROKEN,Laura Hillenbrand,34
2,IN THE GARDEN OF BEASTS,Erik Larson,9
3,THE GREATER JOURNEY,David McCullough,7
4,BOSSYPANTS,Tina Fey,14
5,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,9
1,IN THE GARDEN OF BEASTS,Erik Larson,0
2,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,0
3,UNBROKEN,Laura Hillenbrand,0
4,DEMONIC,Ann Coulter,0
5,LOST IN SHANGRI-LA,Mitchell Zuckoff,0
1,"BLACK BIRD, VOL. 9",Kanoko Sakurakoji,1
2,"THE WARRIORS: SKYCLAN AND THE STRANGER, VOL. 1",Erin Hunter and James Barry,1
3,"DANCE IN THE VAMPIRE BUND, VOL. 10",Nozomu Tamaki,1
4,"ROSARIO + VAMPIRE: SEASON II, VOL. 5",Akihisa Ikeda,1
5,"YU-GI-OH! 5D'S, VOL. 1",Masahiro Hikokubo,1
1,HELL'S CORNER,David Baldacci,2
2,A GAME OF THRONES,George RR Martin,16
3,SIZZLING SIXTEEN,Janet Evanovich,3
4,THE CREED LEGACY,Linda Lael Miller,2
5,TOUGH CUSTOMER,Sandra Brown,3
1,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,519
2,THE FIVE LOVE LANGUAGES,Gary Chapman,206
3,ERASING HELL,Francis Chan and Preston Sprinkle,1
4,CRAZY LOVE,Francis Chan with Danae Yankoski,38
5,THE HAPPINESS PROJECT,Gretchen Rubin,19
1,THIRTEEN REASONS WHY,Jay Asher,4
2,THE BOOK THIEF,Markus Zusak,200
3,MR. POPPER'S PENGUINS,Richard Atwater and Florence Atwater,6
4,THEODORE BOONE: KID LAWYER,John Grisham,10
5,THE NINE LIVES OF CHLOE KING,Liz Braswell,4
1,OUTLIERS,Malcolm Gladwell,0
2,DRIVE,Daniel H Pink,0
3,TOO BIG TO FAIL,Andrew Ross Sorkin,0
4,TRIBAL LEADERSHIP,"Dave Logan, John King and Halee Fischer-Wright",0
5,TIPPING POINT,Malcolm Gladwell,0
1,"THE WALKING DEAD, VOL. 14",Robert Kirkman and Charlie Adlard,3
2,RED ROBIN: THE HIT LIST,Fabian Nicieza and Marcus To,1
3,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,70
4,"PENNY ARCADE, VOL. 7",Jerry Holkins and Mike Krahulik,1
5,"BUFFY THE VAMPIRE SLAYER: SEASON EIGHT, VOL. 8","Joss Whedon, Georges Jeanty and others",4
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,34
2,THE ORIGINAL ARGUMENT,Glenn Beck with Joshua Charles,4
3,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,18
4,OUTLIERS,Malcolm Gladwell,5
5,THE GLASS CASTLE,Jeannette Walls,227
1,LEGO HARRY POTTER,the DK staff,8
2,A SICK DAY FOR AMOS McGEE,Philip C Stead,26
3,SILVERLICIOUS,Victoria Kann,22
4,LEGO STAR WARS,Simon Beecroft,80
5,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK),Mo Willems,4
1,THE HUNGER GAMES,Suzanne Collins,46
2,PRETTY LITTLE LIARS,Sara Shepard,47
3,HARRY POTTER,JK Rowling,260
4,DORK DIARIES,Rachel Renée Russell,5
5,DIARY OF A WIMPY KID,Jeff Kinney,130
1,THE HELP,Kathryn Stockett,14
2,ROOM,Emma Donoghue,10
3,WATER FOR ELEPHANTS,Sara Gruen,128
4,CUTTING FOR STONE,Abraham Verghese,76
5,ONE DAY,David Nicholls,19
1,"MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE",James Patterson and Chris Tebbetts,3
2,THE THRONE OF FIRE,Rick Riordan,11
3,SUPER DIAPER BABY 2,Dav Pilkey,3
4,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,Ransom Riggs and Cassandra Jean,6
5,THEODORE BOONE: THE ABDUCTION,John Grisham,6
1,A DANCE WITH DRAGONS,George R R Martin,0
2,THE HELP,Kathryn Stockett,0
3,A GAME OF THRONES,George RR Martin,0
4,NOW YOU SEE HER,James Patterson and Michael Ledwidge,0
5,A CLASH OF KINGS,George RR Martin,0
1,A STOLEN LIFE,Jaycee Dugard,0
2,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,0
3,UNBROKEN,Laura Hillenbrand,0
4,IN THE GARDEN OF BEASTS,Erik Larson,0
5,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,0
1,A DANCE WITH DRAGONS,George R R Martin,1
2,THE HELP,Kathryn Stockett,22
3,NOW YOU SEE HER,James Patterson and Michael Ledwidge,3
4,THEN CAME YOU,Jennifer Weiner,1
5,A GAME OF THRONES,George RR Martin,14
1,A STOLEN LIFE,Jaycee Dugard,1
2,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,25
3,IN THE GARDEN OF BEASTS,Erik Larson,10
4,UNBROKEN,Laura Hillenbrand,25
5,BOSSYPANTS,Tina Fey,15
1,A DANCE WITH DRAGONS,George R R Martin,1
2,THE HELP,Kathryn Stockett,25
3,NOW YOU SEE HER,James Patterson and Michael Ledwidge,3
4,QUINN,Iris Johansen,1
5,THEN CAME YOU,Jennifer Weiner,1
1,A STOLEN LIFE,Jaycee Dugard,1
2,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,25
3,IN THE GARDEN OF BEASTS,Erik Larson,10
4,BOSSYPANTS,Tina Fey,15
5,UNBROKEN,Laura Hillenbrand,25
1,GO THE -- TO SLEEP,Adam Mansbach,7
2,THE 17 DAY DIET,Mike Moreno,18
3,THE 4-HOUR BODY,Timothy Ferriss,31
4,THE DUKAN DIET,Pierre Dukan,13
5,LOVE WINS,Rob Bell,18
1,RECKLESS ENDANGERMENT,Gretchen Morgenson and Joshua Rosner,0
2,KNOWING YOUR VALUE,Mika Brzezinski,0
3,CAR GUYS VS. BEAN COUNTERS,Bob Lutz,0
4,GET RICH CLICK!,Marc Ostrofsky,0
5,WE FIRST,Simon Mainwaring,0
1,A DANCE WITH DRAGONS,George R R Martin,1
2,NOW YOU SEE HER,James Patterson and Michael Ledwidge,3
3,THEN CAME YOU,Jennifer Weiner,1
4,SMOKIN’ SEVENTEEN,Janet Evanovich,4
5,QUINN,Iris Johansen,1
1,BLOOD WORK,Kim Harrison and Pedro Maia,1
2,"SAGA OF THE SWAMP THING, BOOK 5",Alan Moore and Rick Veitch,1
3,PAYING FOR IT,Chester Brown,4
4,GREEN LANTERN: SECRET ORIGIN,Geoff Johns and Ivan Reis,6
5,X-MEN: AGE OF X,Mike Carey and Clay Mann,2
1,A STOLEN LIFE,Jaycee Dugard,1
2,UNBROKEN,Laura Hillenbrand,35
3,IN THE GARDEN OF BEASTS,Erik Larson,10
4,BOSSYPANTS,Tina Fey,15
5,OF THEE I ZING,Laura Ingraham with Raymond Arroyo,1
1,IN THE GARDEN OF BEASTS,Erik Larson,0
2,SEAL TEAM SIX,Howard E Wasdin and Stephen Templin,0
3,UNBROKEN,Laura Hillenbrand,0
4,DEMONIC,Ann Coulter,0
5,LOST IN SHANGRI-LA,Mitchell Zuckoff,0
1,"BLACK BIRD, VOL. 9",Kanoko Sakurakoji,2
2,"ROSARIO + VAMPIRE: SEASON II, VOL. 5",Akihisa Ikeda,2
3,"NARUTO, VOL. 51",Masashi Kishimoto,6
4,"YU-GI-OH! 5D'S, VOL. 1",Masahiro Hikokubo,2
5,"VAMPIRE KNIGHT, VOL. 12",Matsuri Hino,6
1,A GAME OF THRONES,George RR Martin,17
2,HELL'S CORNER,David Baldacci,3
3,WHIPLASH,Catherine Coulter,2
4,A CLASH OF KINGS,George RR Martin,13
5,TOUGH CUSTOMER,Sandra Brown,4
1,THE FIVE LOVE LANGUAGES,Gary Chapman,207
2,WHAT TO EXPECT WHEN YOU'RE EXPECTING,Heidi Murkoff and Sharon Mazel,520
3,ERASING HELL,Francis Chan and Preston Sprinkle,2
4,CRAZY LOVE,Francis Chan with Danae Yankoski,39
5,THE HAPPINESS PROJECT,Gretchen Rubin,20
1,THE BOOK THIEF,Markus Zusak,201
2,THIRTEEN REASONS WHY,Jay Asher,5
3,MR. POPPER'S PENGUINS,Richard Atwater and Florence Atwater,7
4,THEODORE BOONE: KID LAWYER,John Grisham,11
5,THE GIRL WHO COULD FLY,Victoria Forester,5
1,OUTLIERS,Malcolm Gladwell,0
2,DRIVE,Daniel H Pink,0
3,TOO BIG TO FAIL,Andrew Ross Sorkin,0
4,TRIBAL LEADERSHIP,"Dave Logan, John King and Halee Fischer-Wright",0
5,TIPPING POINT,Malcolm Gladwell,0
1,"THE WALKING DEAD, VOL. 14",Robert Kirkman and Charlie Adlard,4
2,SCOTT PILGRIM: PRECIOUS LITTLE LIFE,Bryan Lee O’Malley,71
3,"THE WALKING DEAD, VOL. 1",Robert Kirkman and Tony Moore,87
4,COWBOYS AND ALIENS,"Scott M Rosenberg, Fred Van Lente and others",2
5,SCOTT PILGRIM VS. THE WORLD,Bryan Lee O’Malley,66
1,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,35
2,THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,19
3,OUTLIERS,Malcolm Gladwell,6
